City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Lincoln,AU,-34.7333,135.8667,75.92,45,4,16.6,clear sky
1,Cidreira,BR,-30.1811,-50.2056,70.9,95,11,3.85,few clouds
2,Cape Town,ZA,-33.9258,18.4232,59.92,87,0,11.01,clear sky
3,Provideniya,RU,64.3833,-173.3,32.36,80,20,2.24,few clouds
4,Urumqi,CN,43.801,87.6005,52.75,58,20,4.47,light rain
5,Longyearbyen,SJ,78.2186,15.6401,3.04,55,75,8.05,broken clouds
6,Ushuaia,AR,-54.8,-68.3,29.8,95,99,5.21,light snow
7,Lafayette,US,30.2335,-92.0668,67.95,62,0,0.0,clear sky
8,Butaritari,KI,3.0707,172.7902,81.45,80,70,15.35,broken clouds
9,Hithadhoo,MV,-0.6,73.0833,83.14,74,100,5.68,moderate rain
10,Narsaq,GL,60.9167,-46.05,41.22,86,100,3.87,light rain
11,Pevek,RU,69.7008,170.3133,35.1,79,100,16.06,overcast clouds
12,Parabel,RU,58.6978,81.4825,51.71,65,93,13.98,overcast clouds
13,Avarua,CK,-21.2078,-159.775,84.25,79,20,9.22,few clouds
14,Tiarei,PF,-17.5333,-149.3333,86.02,74,15,21.99,light rain
15,Port Elizabeth,ZA,-33.918,25.5701,58.71,61,3,6.87,clear sky
16,Sakakah,SA,29.9697,40.2064,71.76,36,0,4.54,clear sky
17,Ouadda,CF,8.0777,22.4007,70.9,91,100,2.59,overcast clouds
18,Meulaboh,ID,4.1363,96.1285,81.25,83,81,3.02,broken clouds
19,Bethel,US,41.3712,-73.414,42.49,59,1,10.0,clear sky
20,Ancud,CL,-41.8697,-73.8203,45.55,77,36,10.54,scattered clouds
21,Kodiak,US,57.79,-152.4072,45.91,76,0,6.91,clear sky
22,Arraial Do Cabo,BR,-22.9661,-42.0278,75.87,87,0,21.7,clear sky
23,Rikitea,PF,-23.1203,-134.9692,77.23,66,0,22.84,clear sky
24,Hermanus,ZA,-34.4187,19.2345,57.65,73,0,6.87,clear sky
25,Tuktoyaktuk,CA,69.4541,-133.0374,15.4,89,100,5.48,overcast clouds
26,Lewisporte,CA,49.2499,-55.0482,45.55,83,100,5.59,overcast clouds
27,Mehamn,NO,71.0357,27.8492,22.44,62,100,28.07,light snow
28,Tawang,IN,27.5833,91.8667,56.86,58,23,3.09,few clouds
29,Nikolskoye,RU,59.7035,30.7861,31.87,76,26,4.12,scattered clouds
30,Puerto Ayora,EC,-0.7393,-90.3518,71.73,92,11,5.41,few clouds
31,Bambous Virieux,MU,-20.3428,57.7575,73.22,94,20,5.75,few clouds
32,Bredasdorp,ZA,-34.5322,20.0403,54.5,89,2,1.54,clear sky
33,Salalah,OM,17.0151,54.0924,78.76,85,39,1.5,scattered clouds
34,New Norfolk,AU,-42.7826,147.0587,70.92,83,60,1.01,broken clouds
35,Yambio,SS,4.5721,28.3955,67.15,97,100,3.62,overcast clouds
36,Bullhead City,US,35.1478,-114.5683,90.82,10,0,12.66,clear sky
37,Hobart,AU,-42.8794,147.3294,71.26,82,20,6.91,few clouds
38,Goderich,CA,43.7501,-81.7165,36.91,65,77,11.95,broken clouds
39,Busselton,AU,-33.65,115.3333,61.52,65,79,13.69,broken clouds
40,Akdepe,TM,42.0551,59.3788,69.85,21,100,11.01,overcast clouds
41,Laguna,US,38.421,-121.4238,71.15,37,0,16.11,clear sky
42,Klaksvik,FO,62.2266,-6.589,43.72,71,99,4.56,overcast clouds
43,East London,ZA,-33.0153,27.9116,58.46,70,0,6.26,clear sky
44,North Bend,US,43.4065,-124.2243,53.24,81,20,8.05,few clouds
45,Yulara,AU,-25.2406,130.9889,84.04,23,100,5.75,overcast clouds
46,Flin Flon,CA,54.7682,-101.865,33.67,84,81,10.56,broken clouds
47,Mataura,NZ,-46.1927,168.8643,55.47,64,78,2.86,broken clouds
48,Carnarvon,AU,-24.8667,113.6333,71.04,62,29,15.97,scattered clouds
49,Jamestown,US,42.097,-79.2353,31.59,84,100,11.5,overcast clouds
50,Atuona,PF,-9.8,-139.0333,79.02,76,19,21.5,few clouds
51,Hue,VN,16.4667,107.6,87.91,70,20,2.3,few clouds
52,Kijang,KR,35.2442,129.2139,69.53,62,1,13.24,clear sky
53,Lengshuijiang,CN,27.6881,111.4294,76.91,83,93,2.08,overcast clouds
54,Geraldton,AU,-28.7667,114.6,70.21,68,40,4.61,scattered clouds
55,Fairbanks,US,64.8378,-147.7164,53.56,33,0,12.66,clear sky
56,Alikalia,SL,9.1667,-11.4,73.58,93,100,2.46,light rain
57,Albany,US,42.6001,-73.9662,39.16,62,17,1.99,few clouds
58,Cullman,US,34.1748,-86.8436,57.78,82,0,0.0,clear sky
59,Tokur,RU,53.1333,132.9,33.04,43,1,9.78,clear sky
60,Iralaya,HN,15.0,-83.2333,78.1,83,100,10.18,overcast clouds
61,Ciudad Del Maiz,MX,22.4,-99.6,62.24,82,20,7.87,few clouds
62,Upernavik,GL,72.7868,-56.1549,29.14,96,100,7.67,overcast clouds
63,Vaini,TO,-21.2,-175.2,80.76,57,40,10.36,scattered clouds
64,Kudat,MY,6.8837,116.8477,75.6,94,100,4.25,overcast clouds
65,Rantauprapat,ID,2.1,99.8333,83.07,80,95,1.05,light rain
66,Tasiilaq,GL,65.6145,-37.6368,32.16,85,81,6.33,broken clouds
67,Dongning,CN,44.0622,131.1207,57.69,19,100,8.59,overcast clouds
68,Dzilam Gonzalez,MX,21.2833,-88.9333,76.62,78,100,8.28,overcast clouds
69,Yellowknife,CA,62.456,-114.3525,44.04,77,25,9.26,scattered clouds
70,Turochak,RU,52.2576,87.1224,50.22,53,9,2.95,clear sky
71,Pozo Colorado,PY,-23.4923,-58.7972,89.4,33,37,11.92,scattered clouds
72,Kapaa,US,22.0752,-159.319,80.58,84,40,12.66,scattered clouds
73,Beidao,CN,34.5686,105.8933,55.81,63,17,2.55,few clouds
74,Nuuk,GL,64.1835,-51.7216,34.41,100,100,35.99,light snow
75,Bubaque,GW,11.2833,-15.8333,77.07,74,36,9.46,scattered clouds
76,Maceio,BR,-9.6658,-35.7353,76.44,88,40,2.3,scattered clouds
77,Baruun-Urt,MN,46.6806,113.2792,50.36,15,69,12.28,broken clouds
78,Lorengau,PG,-2.0226,147.2712,86.7,67,78,10.09,broken clouds
79,Maputo,MZ,-25.9653,32.5892,64.22,80,40,6.91,scattered clouds
80,Kaitangata,NZ,-46.2817,169.8464,57.79,61,67,2.57,broken clouds
81,Hovd,MN,48.0056,91.6419,39.15,47,18,2.26,few clouds
82,Luebo,CD,-5.35,21.4167,66.61,99,80,1.21,broken clouds
83,Berestechko,UA,50.3605,25.1107,46.0,87,69,7.61,broken clouds
84,Japura,ID,-0.3167,102.35,80.37,89,100,2.19,overcast clouds
85,Arti,RU,56.4234,58.5328,56.08,81,99,17.78,overcast clouds
86,Hami,CN,42.8,93.45,62.67,17,100,14.56,overcast clouds
87,Castro,BR,-24.7911,-50.0119,63.05,88,100,4.05,overcast clouds
88,Leuna,DE,51.3167,12.0167,47.82,83,80,5.26,broken clouds
89,Thompson,CA,55.7435,-97.8558,31.89,85,51,6.91,broken clouds
90,Rawson,AR,-43.3002,-65.1023,45.46,52,100,18.19,overcast clouds
91,Ponta Do Sol,PT,32.6667,-17.1,61.43,75,52,5.01,broken clouds
92,Pringsewu,ID,-5.3582,104.9744,72.45,96,100,6.73,overcast clouds
93,Muli,MV,2.9167,73.5667,83.91,74,88,7.02,overcast clouds
94,Cherskiy,RU,68.75,161.3,31.86,100,100,4.27,light snow
95,Nicoya,CR,10.1483,-85.452,79.88,76,97,7.58,overcast clouds
96,Mar Del Plata,AR,-38.0023,-57.5575,56.88,59,0,8.05,clear sky
97,Lata,PT,40.1629,-8.3327,53.08,99,26,1.16,scattered clouds
98,Gaborone,BW,-24.6545,25.9086,55.85,86,1,5.75,clear sky
99,Birjand,IR,32.8663,59.2211,54.07,71,20,0.0,few clouds
100,Umm Lajj,SA,25.0213,37.2685,77.11,76,0,5.35,clear sky
101,Bluff,NZ,-46.6,168.3333,55.8,67,96,6.53,overcast clouds
102,Yar-Sale,RU,66.8333,70.8333,15.87,80,82,6.8,broken clouds
103,Carbonia,IT,39.1672,8.5222,54.01,53,84,4.81,broken clouds
104,Havoysund,NO,70.9963,24.6622,25.03,56,100,15.86,light snow
