City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-04-25 19:57:00,-23.1203,-134.9692,77.16,72,76,15.7
1,Faanui,PF,2022-04-25 19:57:00,-16.4833,-151.75,81.37,72,6,8.93
2,Saskylakh,RU,2022-04-25 19:57:00,71.9167,114.0833,-7.4,100,100,3.83
3,Goderich,CA,2022-04-25 19:57:01,43.7501,-81.7165,52.12,82,100,5.75
4,Aasiaat,GL,2022-04-25 19:48:37,68.7098,-52.8699,28.92,85,100,2.55
5,Matara,LK,2022-04-25 19:55:22,5.9485,80.5353,78.15,88,22,2.68
6,Mandalgovi,MN,2022-04-25 19:57:02,45.7625,106.2708,22.89,46,0,11.3
7,Mataura,NZ,2022-04-25 19:57:02,-46.1927,168.8643,51.48,81,65,6.78
8,Huainan,CN,2022-04-25 19:57:03,32.6264,116.9969,61.12,97,100,3.96
9,Cape Town,ZA,2022-04-25 19:56:12,-33.9258,18.4232,59.41,72,0,10.36
10,Kodiak,US,2022-04-25 19:57:04,57.79,-152.4072,40.5,64,49,4.23
11,Akdepe,TM,2022-04-25 19:57:04,42.0551,59.3788,64.49,42,100,11.32
12,Jamestown,US,2022-04-25 19:52:07,42.097,-79.2353,80.24,44,40,13.8
13,Ribeira Grande,PT,2022-04-25 19:57:05,38.5167,-28.7,61.2,67,20,10.36
14,Hermanus,ZA,2022-04-25 19:52:31,-34.4187,19.2345,51.8,71,0,5.37
15,Weihe,CN,2022-04-25 19:57:06,32.9952,105.3247,58.42,61,100,3.33
16,Albany,US,2022-04-25 19:53:52,42.6001,-73.9662,70.23,36,100,7.0
17,Vallenar,CL,2022-04-25 19:52:28,-28.5708,-70.7581,78.87,29,0,8.23
18,Punta Arenas,CL,2022-04-25 19:53:28,-53.15,-70.9167,44.71,65,40,17.27
19,Tuatapere,NZ,2022-04-25 19:54:40,-46.1333,167.6833,41.92,88,29,5.57
20,Juneau,US,2022-04-25 19:54:46,58.3019,-134.4197,48.22,91,75,5.75
21,New Norfolk,AU,2022-04-25 19:57:08,-42.7826,147.0587,50.88,87,90,2.37
22,Vaini,TO,2022-04-25 19:57:09,-21.2,-175.2,73.56,88,75,14.97
23,San Cristobal,VE,2022-04-25 19:55:45,7.7669,-72.225,71.78,50,47,4.72
24,Cabo San Lucas,MX,2022-04-25 19:55:41,22.8909,-109.9124,84.06,63,16,4.0
